Date,Price
12/23/2019,1302.4
12/20/2019,1296.7
12/19/2019,1288.8
12/18/2019,1292.35
12/17/2019,1271.1
12/16/2019,1257.35
12/13/2019,1263.85
12/12/2019,1263.6
12/11/2019,1248.75
12/10/2019,1249.5
12/9/2019,1242.95
12/6/2019,1246.05
12/5/2019,1245.6
12/4/2019,1251.65
12/3/2019,1255.4
12/2/2019,1265.75
11/29/2019,1274.95
11/28/2019,1265.3
11/27/2019,1278.4
11/26/2019,1275.05
11/25/2019,1271.1
11/22/2019,1264.75
11/21/2019,1283.35
11/20/2019,1273.35
11/19/2019,1271.9
11/18/2019,1262.05
11/15/2019,1277.9
11/14/2019,1273.9
11/13/2019,1257.55
11/11/2019,1264.75
11/8/2019,1255.6
11/7/2019,1263.7
11/6/2019,1256.65
11/5/2019,1239.5
11/4/2019,1236.85
11/1/2019,1240.05
10/31/2019,1230.35
10/30/2019,1248.35
10/29/2019,1242.5
10/27/2019,1237.7
10/25/2019,1229
10/24/2019,1236.1
10/23/2019,1241.6
10/22/2019,1239.3
10/18/2019,1229
10/17/2019,1220
10/16/2019,1221.1
10/15/2019,1223.05
10/14/2019,1204.4
10/11/2019,1198.8
10/10/2019,1200.55
10/9/2019,1228.15
10/7/2019,1186.9
10/4/2019,1189.7
10/3/2019,1223.55
10/1/2019,1248.8
9/30/2019,1227.45
9/27/2019,1244.2
9/26/2019,1242.5
9/25/2019,1239.7
9/24/2019,1253.8
9/23/2019,1257.25
9/20/2019,1199.6
9/19/2019,1101.05
9/18/2019,1093.88
9/17/2019,1105.68
9/16/2019,1122.08
9/13/2019,1128.73
9/12/2019,1135.43
9/11/2019,1125.65
9/9/2019,1124.8
9/6/2019,1122.95
9/5/2019,1117.58
9/4/2019,1123.88
9/3/2019,1105.48
8/30/2019,1113.98
8/29/2019,1113.48
8/28/2019,1123.75
8/27/2019,1129.98
8/26/2019,1128.08
8/23/2019,1081.35
8/22/2019,1087.05
8/21/2019,1112.93
8/20/2019,1110.3
8/19/2019,1103.43
8/16/2019,1113.85
8/14/2019,1114.73
8/13/2019,1110.18
8/9/2019,1141
8/8/2019,1116.58
8/7/2019,1092
8/6/2019,1094.55
8/5/2019,1089.63
8/2/2019,1107.18
8/1/2019,1110.9
7/31/2019,1125.83
7/30/2019,1126.13
7/29/2019,1122.15
7/26/2019,1138.65
7/25/2019,1143.03
7/24/2019,1140.45
7/23/2019,1131.75
7/22/2019,1148.63
7/19/2019,1187.83
7/18/2019,1205.95
7/17/2019,1198.73
7/16/2019,1195.6
7/15/2019,1197.38
7/12/2019,1196.95
7/11/2019,1203.58
7/10/2019,1194.38
7/9/2019,1189.58
7/8/2019,1204.8
7/5/2019,1236.2
7/4/2019,1241.9
7/3/2019,1244.83
7/2/2019,1247.5
7/1/2019,1242.78
6/28/2019,1221.88
6/27/2019,1231.15
6/26/2019,1233.95
6/25/2019,1214.35
6/24/2019,1208.98
6/21/2019,1207.1
6/20/2019,1213.18
6/19/2019,1214.18
6/18/2019,1208.63
6/17/2019,1211
6/14/2019,1217.55
6/13/2019,1222.35
6/12/2019,1213.53
6/11/2019,1224.2
6/10/2019,1220.1
6/7/2019,1223.83
6/6/2019,1211.68
6/4/2019,1226.15
6/3/2019,1228.55
5/31/2019,1212.68
5/30/2019,1219.78
5/29/2019,1208.45
5/28/2019,1208.1
5/27/2019,1204.18
5/24/2019,1186.68
5/23/2019,1166.05
5/22/2019,1202.88
5/21/2019,1201.85
5/20/2019,1216.18
5/17/2019,1181.05
5/16/2019,1155.33
5/15/2019,1143.35
5/14/2019,1143.95
5/13/2019,1143.6
5/10/2019,1148.25
5/9/2019,1145.45
5/8/2019,1153.63
5/7/2019,1161.18
5/6/2019,1164.23
5/3/2019,1183.98
5/2/2019,1177.9
4/30/2019,1158.73
4/26/2019,1140.48
4/25/2019,1131.73
4/24/2019,1139.88
4/23/2019,1122.65
4/22/2019,1134.35
4/18/2019,1146.83
4/16/2019,1152.53
4/15/2019,1144.4
4/12/2019,1132.63
4/11/2019,1128.75
4/10/2019,1118.68
4/9/2019,1143.63
4/8/2019,1144.7
4/5/2019,1152.8
4/4/2019,1141.98
4/3/2019,1146.38
4/2/2019,1147.43
4/1/2019,1155.9
3/29/2019,1159.45
3/28/2019,1151.4
3/27/2019,1149.73
3/26/2019,1155.68
3/25/2019,1140.65
3/22/2019,1138.08
3/20/2019,1149.5
3/19/2019,1133.88
3/18/2019,1130.73
3/15/2019,1126.5
3/14/2019,1112.38
3/13/2019,1113.28
3/12/2019,1085.5
3/11/2019,1064.23
3/8/2019,1064.1
3/7/2019,1063.25
3/6/2019,1052.13
3/5/2019,1053.55
3/1/2019,1041.68
2/28/2019,1038.78
2/27/2019,1046.13
2/26/2019,1055.33
2/25/2019,1062.7
2/22/2019,1045.73
2/21/2019,1057.95
2/20/2019,1054.18
2/19/2019,1042.03
2/18/2019,1044.95
2/15/2019,1050.33
2/14/2019,1055.1
2/13/2019,1071.73
2/12/2019,1064.85
2/11/2019,1069.83
2/8/2019,1061.33
2/7/2019,1058.63
2/6/2019,1061.33
2/5/2019,1057.03
2/4/2019,1052.45
2/1/2019,1045.23
1/31/2019,1039.98
1/30/2019,1017.35
1/29/2019,1028.8
1/28/2019,1042.08
1/25/2019,1048
1/24/2019,1051.13
